name;directedBy;premiere;maleActor;femaleActor
The Good, the Bad and the Ugly;S. Leone;1966;L. Cleef;S. Canevari
Once Upon a Time in the West;S. Leone;1968;H. Fonda;C. Cardinale
Duck, You Sucker;S. Leone;1971;R. Steiger;M. Monti
Once Upon a Time in America;S. Leone;1984;R. Gonzalez;E. McGovern
Rashomon;A. Kurosawa;1950;M. Chiaki;N. Honma
The Hidden Fortress;A. Kurosawa;1958;M. Chiaki;T. Higuchi
Kagemusha;A. Kurosawa;1980;K. Atô;K. Otowa
Ran;A. Kurosawa;1985;M. Amada;Y. Miyazaki
E.T. the Extra-Terrestrial;S. Spielberg;1982;H. Thomas;E. Eleniak
Schindler's List;S. Spielberg;1993;L. Neeson;J. Capshaw
Saving Private Ryan;S. Spielberg;1998;T. Hanks;S. Bailo-Lape
THX 1138;G. Lucas;1971;M. Alexandria;B. Artis
American Graffiti;G. Lucas;1973;R. Dreyfuss;S. Somers
Star Wars;G. Lucas;1977;A. Guinness;C. Fisher
Raiders of the Lost Ark;G. Lucas;1981;H. Ford;D. Marchini
The Seventh Seal;I. Bergman;1957;B. Anderberg;B. Andersson
Wild Strawberries;I. Bergman;1957;K. Bergman;B. Andersson
Cries & Whispers;I. Bergman;1972;A. Ek;H. Andersson
Fanny and Alexander;I. Bergman;1982;K. Almgren;V. Aberlé
Edward Scissorhands;T. Burton;1990;C. Alexander;C. Aaron
Ed Wood;T. Burton;1994;V. D'Onofrio;S. Ali
Corpse Bride;T. Burton;2005;S. Ballantyne;J. Horrocks
Frankenweenie;T. Burton;2012;R. Bell;C. O'Hara
Following;C. Nolan;1998;D. Bovill;L. Russell
The Prestige;C. Nolan;2006;D. Bowie;P. Perabo
Interstellar;C. Nolan;2014;J. Lithgow;J. Christensen
Dunkirk;C. Nolan;2017;E. Aude;C. Deserbais
Aliens;J. Cameron;1986;B. Paxton;J. Goldstein
Terminator 2: Judgment Day;J. Cameron;1991;E. Furlong;L. Hamilton
Titanic;J. Cameron;1997;L. DiCaprio;K. Winslet
Avatar;J. Cameron;2009;G. Ribisi;S. Weaver
Blade Runner;R. Scott;1982;B. James;J. Cassidy
Thelma & Louise;R. Scott;1991;J. Beghe;G. Davis
Gladiator;R. Scott;2000;R. Crowe;C. Nielsen
The Martian;R. Scott;2015;M. Damon;A. Arce
Se7en;D. Fincher;1995;M. Freeman;D. Jennings
Zodiac;D. Fincher;2007;J. Feliciano;L. Anderson
The Social Network;D. Fincher;2010;J. Timberlake;M. Edwards
Gone Girl;D. Fincher;2014;B. Affleck;S. Ward
Bad Taste;P. Jackson;1987;K. Hammon;C. Girdlestone
The Lord of the Rings: The Fellowship of the Ring;P. Jackson;2001;S. Bean;L. Tyler
